Induction of High-level Behaviors from Problem-solving Traces using Machine Learning Tools,April 2009,"Vivien Robinet, Gilles Bisson, Mirta B. Gordon, Benoît Lemaire"
Introduction to Machine Learning: Class Notes 67577,April 2009,Amnon Shashua
Considerations upon the Machine Learning Technologies,April 2009,"Alin Munteanu, Cristina Ofelia Sofran"
Data Mining and Machine Learning in Astronomy,June 2009,"Nicholas M. Ball, Robert J. Brunner"
Restart Strategy Selection using Machine Learning Techniques,July 2009,"Shai Haim, Toby Walsh"
Galaxy Zoo: Reproducing Galaxy Morphologies Via Machine Learning,August 2009,"Manda Banerji, Ofer Lahav, Chris J. Lintott, Filipe B. Abdalla, Kevin Schawinski, Steven P. Bamford, Dan Andreescu, Phil Murray, M. Jordan Raddick, Anze Slosar, Alex Szalay, Daniel Thomas, Jan Vandenberg"
Machine Learning for Precise Quantum Measurement,October 2009,"Alexander Hentschel, Barry C. Sanders"
State of the Art Review for Applying Computational Intelligence and Machine Learning Techniques to Portfolio Optimisation,October 2009,"Evan Hurwitz, Tshilidzi Marwala"
Machine Learning: When and Where the Horses Went Astray?,November 2009,Emanuel Diamant
Positive Definite Kernels in Machine Learning,November 2009,Marco Cuturi
Kernel machines with two layers and multiple kernel learning,January 2010,Francesco Dinuzzo
A Survey of Naïve Bayes Machine Learning approach in Text Document Classification,March 2010,"Vidhya. K. A, G. Aghila"
Machine learning approach to inverse problem and unfolding procedure,April 2010,Nikolai Gagunashvili
Machine Learning for Galaxy Morphology Classification,May 2010,"Adam Gauci, Kristian Zarb Adami, John Abela"
Using machine learning to make constraint solver implementation decisions,May 2010,"Lars Kotthoff, Ian Gent, Ian Miguel"
GraphLab: A New Framework for Parallel Machine Learning,June 2010,"Yucheng Low, Joseph Gonzalez, Aapo Kyrola, Danny Bickson, Carlos Guestrin, Joseph M. Hellerstein"
A Machine Learning Approach to Recovery of Scene Geometry from Images,July 2010,Hoang Trinh
Machine Learning Approaches for Modeling Spammer Behavior,August 2010,"Md. Saiful Islam, Abdullah Al Mahmud, Md. Rafiqul Islam"
Machine learning for constraint solver design -- A case study for the alldifferent constraint,August 2010,"Ian Gent, Lars Kotthoff, Ian Miguel, Peter Nightingale"
Pattern Recognition in Collective Cognitive Systems: Hybrid Human-Machine Learning (HHML) By Heterogeneous Ensembles,August 2010,"Hesam T. Dashti, Adel Ardalan, Alireza F. Siahpirani, Jernej Tonejc, Ioan V. Uilecan, Tiago Simas, Bruno Miranda, Rita Ribeiro, Liya Wang, Amir H. Assadi"
Applications of Machine Learning Methods to Quantifying Phenotypic Traits that Distinguish the Wild Type from the Mutant Arabidopsis Thaliana Seedlings during Root Gravitropism,August 2010,"Hesam T. Dashti, Jernej Tonejc, Adel Ardalan, Alireza F. Siahpirani, Sabrina Guettes, Zohreh Sharif, Liya Wang, Amir H. Assadi"
The use of machine learning with signal- and NLP processing of source code to fingerprint detect and classify vulnerabilities and weaknesses with MARFCAT,October 2010,Serguei A. Mokhov
Sublinear Optimization for Machine Learning,October 2010,"Kenneth L. Clarkson, Elad Hazan, David P. Woodruff"
DNA Sequencing via Quantum Mechanics and Machine Learning,December 2010,"Henry Yuen, Fuyuki Shimojo, Kevin J. Zhang, Ken-ichi Nomura, Rajiv K. Kalia, Aiichiro Nakano, Priya Vashishta"
On Machine-Learned Classification of Variable Stars with Sparse and Noisy Time-Series Data,January 2011,"Joseph W. Richards, Dan L. Starr, Nathaniel R. Butler, Joshua S. Bloom, John M. Brewer, Arien Crellin-Quick, Justin Higgins, Rachel Kennedy, Maxime Rischard"
QSO Selection Algorithm Using Time Variability and Machine Learning: Selection of 1620 QSO Candidates from MACHO LMC Database,January 2011,"Dae-Won Kim, Pavlos Protopapas, Yong-Ik Byun, Charles Alcock, Roni Khardon, Markos Trichas"
From Machine Learning to Machine Reasoning,February 2011,Leon Bottou
A generic trust framework for large-scale open systems using machine learning,March 2011,"Xin Liu, Gilles Tredan, Anwitaman Datta"
Teraflop-scale Incremental Machine Learning,March 2011,Eray Özkural
Data Mining and Machine-Learning in Time-Domain Discovery & Classification,April 2011,"Joshua S. Bloom, Joseph W. Richards"
A Machine Learning Based Analytical Framework for Semantic Annotation Requirements,April 2011,"Hamed Hassanzadeh, MohammadReza Keyvanpour"
On Combining Machine Learning with Decision Making,April 2011,"Theja Tulabandhula, Cynthia Rudin"
Self-configuration from a Machine-Learning Perspective,May 2011,Wolfgang Konen
A machine learning pipeline for discriminant pathways identification,May 2011,"Annalisa Barla, Giuseppe Jurman, Roberto Visintainer, Margherita Squillario, Michele Filosi, Samantha Riccadonna, Cesare Furlanello"
Identifying Hosts of Families of Viruses: A Machine Learning Approach,May 2011,"Anil Raj, Michael Dewar, Gustavo Palacios, Raul Rabadan, Chris H. Wiggins"
ProDiGe: PRioritization Of Disease Genes with multitask machine learning from positive and unlabeled examples,June 2011,"Fantine Mordelet, Jean-Philippe Vert"
Machine Learning Markets,June 2011,Amos Storkey
Fast supersymmetry phenomenology at the Large Hadron Collider using machine learning techniques,June 2011,"A. Buckley, A. Shilton, M. J. White"
Wrapper Maintenance: A Machine Learning Approach,June 2011,"C. A. Knoblock, K. Lerman, S. N. Minton"
IBSEAD: - A Self-Evolving Self-Obsessed Learning Algorithm for Machine Learning,June 2011,"Jitesh Dundas, David Chik"
Law of Connectivity in Machine Learning,July 2011,Jitesh Dundas
GraphLab: A Distributed Framework for Machine Learning in the Cloud,July 2011,"Yucheng Low, Joseph Gonzalez, Aapo Kyrola, Danny Bickson, Carlos Guestrin"
Spectral approximations in machine learning,July 2011,"Darren Homrighausen, Daniel J. McDonald"
An end-to-end machine learning system for harmonic analysis of music,July 2011,"Yizhao Ni, Matt Mcvicar, Raul Santos-Rodriguez, Tijl De Bie"
A Machine Learning Perspective on Predictive Coding with PAQ,August 2011,"Byron Knoll, Nando de Freitas"
Dimension Reduction Using Rule Ensemble Machine Learning Methods: A Numerical Study of Three Ensemble Methods,August 2011,"Orianna DeMasi, Juan Meza, David H. Bailey"
Quantum adiabatic machine learning,September 2011,"Kristen L. Pudenz, Daniel A. Lidar"
Fast and Accurate Modeling of Molecular Atomization Energies with Machine Learning,September 2011,"Matthias Rupp, Alexandre Tkatchenko, Klaus-Robert Müller, O. Anatole von Lilienfeld"
Strange Beta: An Assistance System for Indoor Rock Climbing Route Setting Using Chaotic Variations and Machine Learning,October 2011,"Caleb Phillips, Lee Becker, Elizabeth Bradley"
Two Projection Pursuit Algorithms for Machine Learning under Non-Stationarity,October 2011,Duncan A. J. Blythe
"Discussion on ""Techniques for Massive-Data Machine Learning in Astronomy"" by A. Gray",October 2011,Nicholas M. Ball
Generic Multiplicative Methods for Implementing Machine Learning Algorithms on MapReduce,November 2011,"Song Liu, Peter Flach, Nello Cristianini"
Maximum Joint Entropy and Information-Based Collaboration of Automated Learning Machines,November 2011,"N. K. Malakar, K. H. Knuth, D. J. Lary"
Machine Learning with Operational Costs,December 2011,"Theja Tulabandhula, Cynthia Rudin"
Rapid Machine-Learned Resource Allocation: Application to High-redshift GRB Follow-up,December 2011,"Adam N. Morgan, James Long, Joseph W. Richards, Tamara Broderick, Nathaniel R. Butler, Joshua S. Bloom"
